address,city,compname,contents,education,industry,jobgood,jobname,jobway,month,salary,size,url
上海,上海,米思米,职位描述：该职位接受暑期实习&长期实习。公司地址：天目西路128号企业中心第一座10楼（1#汉中路+步行）实习工资：23元x8小时/天=184元/天。人员要求——信息管理、计算机、统计学等相关专业大三以上在校学生，具有扎实的理论基础（以毕业后正式录用为前提，优先考虑上海院校在读的2019年度毕业本科生）；对数据敏感、逻辑性强，对数据挖掘以及分析工作有浓厚兴趣。了解常用关系型数据库。掌握以下语言中的一门：Python、SQL、tableau、html、UI。有责任感、团队精神与人际沟通能力；暑假期间全勤，9月开学后每周能够参加实习3天以上。有数据可视化及实际数据挖掘项目经验者优先工作内容——参与数据挖掘分析项目：以小组成员合作的形式进行数据抓取和数据处理；按目标对现有数据进行分析，建立数据预测&amp;挖掘模型，产生所需分析和预测结果；分析数据库，设计关键词链接，对业务流程进行再设计等。即日起安排面试。,本科,机械制造,职位诱惑：参与重要数据分析项目，工作内容含金量高，是很好的提高机会。,数据分析企划实习生,3天／周,实习7个月,184-200／天,500-2000人,https://www.shixiseng.com/intern/inn_zkjcxeyk1b6i
上海,上海,西部证券,职位描述：该职位接受暑期实习&长期实习。岗位职责：1、负责相关行业的数据拆解，产业链梳理，二手资料收集，整理和分析，建立相关数据库并定期跟踪，输出研究报告；2、针对相关行业细分领域相关上市公司标的研究，进行数据梳理，编写研究报告，输出投资建议。3、进行会议记录的撰写，总结。4、部门其他工作协助及处理。任职要求：1、全日制本科大二大三或研一在读；2、有券商、基金相关行业研究等从业经验优先；3、学习能力强，较强的信息搜集能力和数据处理能力；4、熟练时用Excel、PPT等工具，较强的逻辑概括、文字和语言表达能力，能够独立实施草根调研。,本科,金融,职位诱惑：券商平台,实习助理数据分析师,4天／周,实习4个月,40-80／天,15-50人,https://www.shixiseng.com/intern/inn_jnbij2ljxj9z
上海,上海,珀金埃尔默,职位描述：负责数据统计部门的报告排版和文字的校对。（需要：较为仔细认真负责的态度）负责基础的市场维护工作，包括：市场工具（APP）的维护；以及需要使用到EXCEL的相关技能处理一些市场数据；上传、整理、编写、排版一些市场与销售文字、简单基础的英文材料翻译。（英文基础较好、最好专业带市场的）3.一些软件研发的项目跟进工作。例如：和开发供应商沟通项目进度、及时反馈（较好的沟通能力和意愿、IT的技术）,本科,机械制造,职位诱惑：大型美资外企，500强,数据统计分析实习生,3天／周,实习4个月,124-145／天,2000人以上,https://www.shixiseng.com/intern/inn_sapxoliogsqk
上海,上海,亿翰股份,职位描述：职位要求：1、收集整理房地产行业、企业和项目（楼盘）的数据资料2、在研究总监/项目总监指导下做好研究报告、咨询报告撰写工作3、按研究总监/项目总监要求开展客户专业维护工作4、协助研究总监/项目总监完成其他交办工作岗位要求：1.本科及以上学历，理工类专业优先考虑；2.有目标，坚韧踏实；3.能独立从事初级研究，有房地产研究背景尤佳；4.具有数据敏感度和较好的学习领悟能力；5.逻辑思维能力强，能快速进行信息收集、分析、归纳、总结；6.沟通能力强，有工作热情及团队合作能力。,本科,建筑/房地产,职位诱惑：数据挖掘   数据分析   研究报告,数据分析员——项目测评事业部,3天／周,实习4个月,100-120／天,50-150人,https://www.shixiseng.com/intern/inn_ej4m2loxjy31
广州,广州,棒谷网络,"职位描述：岗位职责：1、负责Facebook&amp;Googleadwords关键词广告和展示广告的海外推广投放分析及数据分析，根据分析结果调整竞价推广，统筹公司Facebook&amp;GoogleAdwords广告帐户，优化帐户设置，提高广告转换率；2、进行广告投放,为广告帐户提供广告方案；监控广告的实际投放效果，进行实时优化，并提出和执行相应解决对策；3、独立分析广告投放数据，评估、分析网站的关键词，提供关键词策略；总结投放问题，拟定解决策略；4、网络广告效果监控：每日检测所有投放渠道广告情况，填写效果评估表格，并能准确的定位关键词，能够创造性思维编辑关键词广告。岗位要求：1、本科及以上学历，专业不限；2、英语六级，英语四级但有较强的广告文案撰写能力亦可考虑；3、对电商有一定了解，熟悉国外广告投放（如Facebook、Googleadwords等）；4、熟练掌握Excel等办公软件使用，具备较强的数据分析能力；5、有强烈的责任心和团队合作精神，工作严谨细致，善于学习。",大专,计算机/互联网,"职位诱惑：五险一金,晋升空间大,学习机会多,公司实力强",海外SEM推广实习生（数据分析，广告投放）,5天／周,实习9个月,100-200／天,2000人以上,https://www.shixiseng.com/intern/inn_pgv2azf7zrpb
上海,广州,德国西克传感器,"职位描述：工作内容：负责技术服务部的日常运作支持、数据分析和数据库更新等工作，包括1.服务定价和订单处理支持；2.协助服务成本及业务分析；3.协助服务任务和项目协调；4.协助其他服务运营日常工作；5.完成上级分配的其他任务。任职要求：1.本科学历以上；2.会Excel数据和SQLserver处理者优先；3.良好的英语读写能力（CET4），熟悉office办公软件；4.较强的沟通能力，一定的抗压能力，耐心仔细，积极主动；此招聘信息长期有效,欢迎各位优秀的同学投递!",本科,电气,"职位诱惑：公司提供入职培训,福利好,气氛好,工作独立,是提升自我的好平台。",数据分析兼协助运作专员助理,3天／周,实习9个月,140-150／天,150-500人,https://www.shixiseng.com/intern/inn_x5jg2g60vqah
北京,北京,京东金融,职位描述：岗位职责:1、根据业务需求利用python和vba对数据进行从数据库到excel的自动化工作，完善业务统计分析模型；2、各类业务数据提取、汇总统计分析，依据数据分析结果为业务提供数据支持。任职资格：1、在读全日制本科及以上学历，2019届优先；2、熟练使用Python（pandas）、VBA、SQL；3、有过报表自动化、邮件自动化、金融行业研究、股票分析的经验者优先；4、可保证6个月实习，每周出勤4-5天。,本科,"互联网,金融/保险",职位诱惑：团队气氛好、学习机会多、免费班车、免费晚餐、培训、京东内购优,数据分析实习生,5天／周,实习4个月,120-180／天,2000人以上,https://www.shixiseng.com/intern/inn_exwm2jhyhp5c
北京,北京,猎豹移动,职位描述：岗位职责:1.监控App用户行为和广告平台运营数据，定期发布数据报告；2.从数据角度分析、定位产品和业务运行问题，给出合理建议；3.从大体量数据中挖掘有用信息，促进产品发展。岗位要求:1.本科及以上学历，数学或计算机相关专业优先；2.了解常用的数据分析方法，会使用SQL，能熟练使用Excel等数据处理工具；3.逻辑清晰，对数据敏感，能有效表达，有优秀的沟通能力。,本科,互联网,职位诱惑：大公司团队 快速的成长空间,移动产品和广告数据分析实习生,5天／周,实习7个月,200-400／天,2000人以上,https://www.shixiseng.com/intern/inn_tfxgnj182cwr
广州,广州,Mobisummer,职位描述：该职位接受暑期实习。岗位职责：1、协助流量质量报告数据整理与分析2、协助数据系统配置工作，快速响应业务需求3、客户邮件管理，根据业务需求给客户发送邮件任职要求：1、本科大三学生2、能够熟练使用excel进行数据整理和简单的数据分析3、责任心强，细心，能承受一定的工作压力4、对互联网行业感兴趣5、英语水平，cet4或以上,本科,计算机/互联网,职位诱惑：弹性工作  团队聚餐 发展空间大,数据分析实习生,5天／周,实习6个月,100-200／天,150-500人,https://www.shixiseng.com/intern/inn_ojnbe5qk86hu
宁波,宁波,萌牙,"职位描述：岗位职责：1、负责统计数据的设计、采集与整理，形成数据报表、以支持产品、运营、商务、渠道决策；2、负责数据挖掘，从数据中发现问题、发掘知识，影响长期的营销策略；3、负责设计、维护数据平台。4、根据公司业务，设计有效的数据指标体系，进行运营数据跟踪分析，结合业务日常看数和分析需求，设计并优化数据报表；5、从产品、用户、市场等角度分析产品运营发展趋势，发现潜在的商业机会、风险或缺陷，提供决策数据支持6、紧跟业务变化，在关键节点进行深入分析，为业务策略制定、效果评估和策略优化提供洞见；7、根据公司需求，进行各个项目重点专项报告输出，针对目标用户细分群体进行相关底层数据建设，完成独立的分析和研究报告；8、协助部门负责人完成公司业务发展规划，新领域拓展及其他重点商业分析工作。基于业务需求和数据价值洞察，设计并落地数据服务，推动数据化运营任职要求：1、本科及以上学历，985、211高校优先，数学、统计学、计算机、经济学、管理学等相关专业优先，有数据分析从业经验优先2、具有很强的逻辑和数字分析能力，包括数据建模的能力3、熟练使用SQL/Database,SPSS，ExcelVBA等4、热爱并有志于从事数据挖掘和分析工作萌牙的用人标准：价值观是我们的唯一用人标准！我们将一直强调身体和思想上同步的艰苦奋斗，努力学习知识，学习他人，不断反思自己，纠正自己，从而有所创新，有所进取！高压下的鞭策和成长，是我们对待每一位战友的态度和期许！萌牙的价值观：不断学习、艰苦奋斗、团队合作。我们要求每位员工每月都要看2本以上图书，我们员工的工资和学习成果相关。你的待遇和你的成长速度成正比。萌牙的信念：让每个人的口腔更健康，为生活展露健康自信的微笑！萌牙可以为你提供：1、轻松愉悦的工作氛围！85后和90后组成的工作团队，可以让你轻松融入团队，给你温暖，教你技能，伴你成长！2、看不完的书！帮助你提升知识面，进一步提高能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣。3、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！4、冰箱、微波炉、吧台，还有各类花茶、咖啡和零食！希望给你紧张的工作带来一些帮助！5、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！在萌牙，每个人都有可能拿到的期权！优厚的待遇：基本工资+餐补+全勤+提成+五险一金+年终奖+节假日现金红包+生日福利+员工旅游+部门活动！6、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！我们不墨守成规，我们勇于创新，勇于挑战，为每个人的口腔健康做出我们的一份努力和贡献！",本科,计算机/互联网,职位诱惑：扁平管理 五险一金 股权激励 绩效奖金 年底多薪,数据分析实习生,5天／周,实习9个月,120-180／天,50-150人,https://www.shixiseng.com/intern/inn_q2gsifs0uxqy
广州,广州,棒谷科技,职位描述：【岗位职责】1、负责收集、整理并分析采购部门需求，与业务负责人讨论、确认需求；2、管理需求、组织需求和设计评审，跟进需求在后续每个流程环节的落实；3、对需求变更进行影响分析，并跟进后续每个流程环节的落实；4、参与系统功能验收工作，组织关键用户进行功能培训及用户操作手册的编写。【岗位要求】1、17及18届本科及以上学历毕业生，财务、物流、电子商务、数学等相关专业，CET-4同等或以上水平；2、具有较强的口头表达及文档撰写能力，能准确书写符合规范的需求分析、解决方案等文档；3、具备一定的业务梳理及分析能力，能结合业务情况提出合适的方案和建议；4、熟练运用需求分析过程中涉及的工具（如流程图工具、原型设计工具等）；5、具备良好的沟通协调能力、组织能力及学习能力，责任心强，能够承受较大的工作压力。6、有一定的财务基础者优先考虑。【棒谷提供】1、薪酬：综合6-10K，优秀者面议；2、专业培训：专业的培训队伍，为每位新入职员工提供系统的技能培训、职业培训、户外拓展；3、福利待遇：五险一金/绩效奖金/全勤奖/创新奖/年终奖/入职体检/企业文化活动/拓展培训/优秀团队活动经费/大型年会/达标旅游/节日礼物/下午茶；4、带薪假期：带薪年假（5-7天）、国家法定节假日、婚假、产假等；5、工作氛围：开放、轻松、年轻、扁平化管理。??,不限,计算机/互联网,职位诱惑：晋升空间大/优秀团队/五险一金/创新奖/绩效奖/团队拓展,管理培训生(数据与流程分析方向),5天／周,实习8个月,300-500／天,2000人以上,https://www.shixiseng.com/intern/inn_8wi3vnw9vezf
上海,上海,FAT,"职位描述：职位描述：每月销售数据整理、数据分析、市场策略分析等。任职要求1、会熟练使用Excel；2、会使用数据透视表及Vlookup等数据统计公式；3、有数据分析经验的优先；4、有数据敏感度；5、每周能工作4-5天。阿斯利康是全球领先制药公司，由前瑞典阿斯特拉公司和前英国捷利康公司于1999年合并而成。作为一家以创新为驱动的全球性生物制药企业，阿斯利康全球总部位于英国伦敦，全球约有61,500名员工，业务遍布全球100多个国家，公司在17个国家设立生产基地。三大战略研发中心分别位于英国剑桥、美国马里兰州盖瑟斯堡和瑞典蒙道尔，每年研发投入达到40亿美元以上。",大专,企业服务,职位诱惑：可转正式HC,数据分析-Intern,4天／周,实习13个月,99-100／天,2000人以上,https://www.shixiseng.com/intern/inn_jtiwvwl3nrvf
广州,广州,青木科技,职位描述：职位描述：1、负责整理/保存店铺及行业数据，并会做简单的数据分析；2、协助其他岗位进行数据的提取和清洗，并验证数据准确性；3、会使用简单爬虫及数据库访问；4、负责外部数据分析类文档的搜集与整理，并做总结。岗位招聘要求：1、本科在校生，理工科专业优先考虑，每周保证3天以上实习时间；2、熟练excel操作以及简单spss或sas使用；3、工作细致认真，积极主动，能适应快节奏工作。；4、熟练操作python爬虫及小程序封装的优先。,本科,计算机/互联网,职位诱惑：可为在校大学生提供数据分析实习机会,数据分析实习生,3天／周,实习7个月,100-200／天,500-2000人,https://www.shixiseng.com/intern/inn_4ly9x5sxbjy7
广州,广州,青木科技,职位描述：工作职责：1、了解各大电商平台的运营模式，熟练使用淘宝、京东等推广工具，如直通车、钻展等；2、分析选择合适的推广工具，开展商品和店铺推广，优化流量结构，使推广效果达到最优；3、对推广效果进行跟踪、评估，及时提出改进措施，制定切实可行的优化方案；4、熟练excel等数据分析工具，分析预测店铺运营现状并提出运营优化建议。任职资格：1、本科及以上学历，数学、统计、经济类等理工科专业背景优先；2、熟练excel操作，对数据分析感兴趣，较强的学习能力和数据敏感度；3、良好的团队协作意识。,本科,计算机/互联网,职位诱惑：五险一金、周末双休、年度旅游、绩效奖金、年度体检、带薪假期,推广与数据分析专员（应届生）,5天／周,实习17个月,80-100／天,500-2000人,https://www.shixiseng.com/intern/inn_tjgjv3cyf6dh
青岛,青岛,海信集团,职位描述：工作职责1.收集传播团队的数据需求，搭建合理的分析指标体系；2.协助渠道部门，和会员团队一起搭建业务数据仓库，为营销提供数据和分析支持。任职资格1.本科及以上学历，统计学、数学相关专业；2.熟练使用SQL，有HIVE使用经验优先考虑；3.思维开放、善于学习创新，较强的逻辑分析能力;4.优秀的业务理解能力和沟通能力，能跨部门合作沟通。,本科,计算机/互联网,职位诱惑：企业平台好、工作氛围佳、有竞争力的薪酬、2019校招优先录用机会,数据分析专员,5天／周,实习14个月,109-150／天,50-150人,https://www.shixiseng.com/intern/inn_15dedoxj7xi9
深圳,深圳,斯达领科,职位描述：岗位职责：1、负责各站点后台销售数据提取；2、对各站点销售情况进行统计分析，对市场分布情况、重点商品结构、利润结构进行分析；3、进行数据监测、数据分析、总结规律，提出优化建议，异常数据解读挖掘，做实时异常提醒；4、负责制作各平台日、周、月度的销售分析报表，和多维度完成各渠道数据整理分析报表。任职要求：1、本科以上学历，数学、统计学、计算机等相关专业，接受优秀应届毕业生；2.、熟悉一种常用的数据分析工具，如Tableau，SPSS，SAS，EXCEL等；3、熟练使用SQL，Python，R等分析工具；4、较强的数据分析能力，善于从海量数据中总结规律；敏锐的观察力，及时根据数据发现问题，有丰富的数据分析、挖掘、清洗和建模的经验；5、具有良好的文档编写能力，能依据数据分析结果编写专业的分析研究报告；6、具备良好的业务理解能力、逻辑思维和表达能力，善于交流，工作态度认真，积极主动，有责任感，有良好的团队精神。,本科,计算机/互联网,职位诱惑：下午茶 年度旅游 节假日福利 绩效奖金,数据分析助理,5天／周,实习4个月,150-200／天,50-150人,https://www.shixiseng.com/intern/inn_wo26qyptjkm6
北京,北京,北京新东方,职位描述：1、需要熟悉EXCEL；2、每周工作3-4天；3、工作时间：2017年12月11日-2018年2月28日；4、满2个月可开实习证明。,本科,教育培训,职位诱惑：上市企业工作机会，含金量超高的实习机会,数据分析实习生,3天／周,实习4个月,135-136／天,2000人以上,https://www.shixiseng.com/intern/inn_klnztetc0syl
北京,北京,云克网络科技,职位描述：岗位职责：1、查询汇总及分析运营数据；2、部分报表的查询和制作；3、负责平台常规广告运营，与客户进行日常沟通，维系客户关系。岗位要求：1、大学本科及其以上学历，统计、计算机专业优先；2、熟悉数据统计分析方法，熟练掌握EXCEL的高级功能（函数、数据透视等）；3、具备良好的沟通、协调能力，总结能力强；4、可接受优秀应届生。??,本科,"计算机/互联网,企业服务",职位诱惑：平台 团队 薪酬 福利 氛围都太棒啦,数据分析,5天／周,实习7个月,150-180／天,150-500人,https://www.shixiseng.com/intern/inn_zyfjbn6a4hga
北京,北京,滴滴出行,职位描述：职位描述：1）基于公司大数据平台海量用户数据，运用数据挖掘的理论方法，准确、快速处理数据；2）深入理解业务部门提出的数据分析需求，支持面向业务的数据服务；3）基于对业务的深度理解，能在指导下建立数据商业模型。职位要求：1、对互联网行业有浓厚兴趣，聪敏敏锐，饥渴好奇，重点高校本科及以上学历，计算机，数学，统计相关专业优先；2、熟练使用SQL，了解基本Linux命令；3、对数据与业务有足够敏感性，逻辑思维缜密，独立思考能力强；4、有创新意识，并具备良好的学习能力、团队合作精神、沟通能力和组织协调能力，具有高度的责任心，能在较大压力下工作；5、2019年毕业优先考虑，实习时间不少于6个月，每周工作至少4天以上。,本科,互联网,职位诱惑：成长空间大，免费晚餐，加班打车报销,数据分析实习生,4天／周,实习7个月,200-260／天,2000人以上,https://www.shixiseng.com/intern/inn_go7ceqgaaurd
北京,北京,视通财富,职位描述：岗位职责：（1）整理业务需求，进行数据采集/处理；（2）根据业务需求，进行数据分析并生成相应报告；（3）根据业务需求，进行数据分析算法研发；任职资格：（1）计算机、数学、统计学等相关专业本科及以上学历，应届生优先；（2）熟练掌握Excel数据分析技能，熟悉R、Python等开源数据分析工具，具有一定的数据解读能力；（3）熟悉统计学习与数据挖掘算法，能够针对实际应用选择合适的算法并进行验证；（4）思维敏捷，逻辑性强，有较强的语言表达及文字能力，工作积极主动，善于学习总结，具有良好的团队协作意识。（5）有金融业或咨询行业实习经验者优先考虑。,本科,金融,职位诱惑：弹性工作、节日福利、员工培训、绩效奖金,私募基金数据分析师,5天／周,实习8个月,100-200／天,15-50人,https://www.shixiseng.com/intern/inn_8qx2sf2as7uu
深圳,深圳,超越自然,职位描述：该职位接受暑期实习&长期实习。工作职责：1.整理处理销售数据并生成分析报告；2.对于市场各渠道投放作数据监控及分析；3.对于公众号及微博等自媒体数据作追踪。任职要求：1.要求Excel、PPT等office软件熟练，可独立生成数据汇总及分析报告；2.可接受在校学生，应届毕业生，有相关工作经验优先，每周实习3到4天，110-150/天。（要求尽快到岗，不提供住宿，建议临深高校的学生，可接触第一手销售及市场数据，培养分析调研能力）,大专,直播设备,职位诱惑：国内芯片及声卡行业的龙头；培训多，待遇高,数据分析实习生,3天／周,实习6个月,100-150／天,50-150人,https://www.shixiseng.com/intern/inn_tbm1ng9fpew9
北京,北京,小米电视,职位描述：岗位职责：1.小米电视视频业务运营和产品相关的数据分析工作2.负责日常数据的分析整理，对业务进行阶段性总结、分析，定期出具相关分析报表3.定期监测业务数据，及时发现异常值，并查找原因4.进行用户及行业调研，建立并保持对用户、行业，产品的理解5.支持运营和产品业务要求：1.重点本科或硕士2.熟练使用MSOffice熟悉Excel中做图、函数、透视表等功能3.实习时间至少4天/周，持续工作6个月以上，时间长者优先，尽快入职者优先4.良好的逻辑分析和沟通能力，热爱数据分析工作，工作细致认真，积极主动,本科,"互联网,通信/电子",职位诱惑：可转正！可转正！可转正！,运营数据分析实习生,4天／周,实习6个月,100-109／天,500-2000人,https://www.shixiseng.com/intern/inn_7tckppzhwe5m
北京,北京,云思科技,职位描述：该职位接受暑期实习&amp;长期实习。职责描述：通过用户调研，挖掘用户态度，行为洞察，为客户提供指导商业决策的数据支持。我们的客户包括新浪联想腾讯百度雀巢优酷美团联合利华、伊利、腾讯、百度、京东、滴滴出行、利洁时等全球级别快消公司及互联网公司。1、编写问卷、数据分析、报告撰写；2、负责项目流程管理和质量控制；3、研究经理安排的其他工作。任职要求：1、对数据具有敏感性，熟练使用excel、SPSS、SASS中的一种；2、良好的英文口头和书面沟通能力；3、性格开朗，善于沟通，思路开拓，愿意学习新事物；4、熟悉OFFICE办公软件。问卷撰写、；5、具有创新意识，能够快速掌握新的研究方法；6、具备优秀团队协作能力；7、做事细心、负责。,本科,计算机/互联网,职位诱惑：健身俱乐部、免费咖啡茶点、领导NICE、地铁周边、福利完善,数据分析师,4天／周,实习3个月,180-250／天,15-50人,https://www.shixiseng.com/intern/inn_pl00dkqfi7l7
北京,北京,碧莲盛,职位描述：工作职责：1、定期收集业务部门数据，并进行数据分析，负责业务线的数据支持工作；2、对业务完成情况、管理过程数据等进行综合分析，支持业务管理需求；3、监控并提供业绩日报，协助完成日常异常数据分析等相关支持；4、向公司提供可行性业务问题数据分析报告，并能提出优化方案，提升业绩转化。5、具有较强的理解沟通和表达能力，善于团队合作。任职要求：1、数学、统计、计算机等专业；2、有数据运营、数据分析、数据挖掘等相关工作经验者优先；3、熟悉掌握EXCEL等数据工具，了解常用数据挖掘方法和模型；熟悉各种数据渠道来源；4、对数据敏感，具备良好的逻辑思维能力和报告分析能力。,不限,"医药,其他","职位诱惑：领导Nice,同事逗比，包吃包住包....",数据分析,5天／周,实习4个月,200-300／天,500-2000人,https://www.shixiseng.com/intern/inn_lv0swwvvis5z
北京,北京,小米电视,职位描述：岗位职责：1.协助进行数据的整理、分析，对各种系统来源的数据进行综合分析2.根据数据分析结果发现问题，并协助解决问题3.完成leader日常安排的其他工作任职要求：1.2018届重点本科或硕士在校生2.熟练使用MSOffice，熟悉Excel中做图、函数、透视表等功能3.实习时间至少4天/周，持续工作4个月以上，时间长者优先，尽快入职者优先4.良好的逻辑分析和沟通能力，热爱数据分析工作，工作积极主动5.表现良好者有转正机会！！,本科,"互联网,通信/电子",职位诱惑：应届生岗位！转正几率大！,数据分析实习生,4天／周,实习4个月,100-110／天,500-2000人,https://www.shixiseng.com/intern/inn_5aecuenap4wl
上海,上海,OTYPE,"职位描述：工作职责：能独立与相关业务需求方、技术系统负责人沟通，获得报表计算所需的各种信息；通过编写存储过程、SQL、SAS脚本等方式实现业务需求，完成报表展示开发；参与数据报表相关应用项目的开发与常规报表生成的运维工作。任职要求：全日制大学本科及以上学历，2018应届生，计算机、统计或信息系统等相关专业有化妆品行业、快消行业、数据业务运营、互联网运营背景优先；精通SQL/SAS编写技能，存储过程/函数编程，有Siebel经验者优先；对数字敏感，并具备较强的逻辑思维能力,良好的沟通能力以及创新能力；具有良好的洞察力，善于分析和解读数字，并将洞察分析和业务逻辑相结合；责任心强，具有团队精神以及良好的逻辑思维能力和学习能力，抗压能力强。",本科,企业服务,职位诱惑：团队好 发展空间大,数据分析助理主任,5天／周,实习14个月,100-150／天,50-150人,https://www.shixiseng.com/intern/inn_yqxgrnfyxnif
西安,杭州,博彦科技,职位描述：职位描述：岗位职责：大数据项目的运营执行，为客户提供舆情信息的筛查、维护，发送敏感舆论的预警，制作舆情日报、周报等各类报表和报告。本职位向项目经理汇报工作。岗位要求：1、大专及以上学历，工作年限不限，沉稳踏实，能适应相对琐碎和枯燥的工作，具备一定的抗压能力。2、行业背景不限，有互联网、舆情、媒体、广告公关工作经验或专业背景优先.3、有一定文字功底，娴熟使用常用办公软件，尤其是EXCEL和PPT。4、优秀应届生实习岗位可转正。,大专,计算机/互联网,职位诱惑：工作时间：9:00-18:00、双休 工资范围：3K 福利,数据分析实习生,5天／周,实习7个月,80-120／天,2000人以上,https://www.shixiseng.com/intern/inn_y7dftn2vc71a
北京,北京,阿里影业,职位描述：职位描述：1.数据支持。根据阿里影业各业务线需求，整理数据，推进及规范数据基础工作。2.业务分析。基于数据内容为产品提供决策支撑以及优化建议，驱动内容行业的互联网化和数据化。3.项目推进。规划数据分析应用项目，开展并推动项目应用和发展。任职要求：1.对数据敏感、有良好的逻辑思维能力；2.统计学、数学相关专业优先考虑；3.熟悉使用Excel、SPSS等统计分析软件，对数据库具有一定的了解；4.有主动学习的能力和精神，能够承受高强度的工作压力；5.工作责任心强，具有良好的沟通及协调能力，富有创新精神和团队合作精神。6.实习时间：一周三天及以上。,本科,计算机/互联网,职位诱惑：阿里；BAT；有吸引力的工资；Nice的上司；班车接送,阿里影业-数据分析实习生,3天／周,实习3个月,150-200／天,500-2000人,https://www.shixiseng.com/intern/inn_8q1muhhcylut
武汉,武汉,武汉安天,职位描述：1.收集、整理、统计、记录、分析运营所有各项日常运营指标数据，提供建议和决策支持；2.能够通过数据挖掘，结合对业务的理解，提供前瞻性运营分析报告；3.撰写数据分析报告，为运营决策、产品推广和商务洽谈策略提供数据支持；4.根据上级需求，制作各类常规报表及分析报表，协助部门完成日报、周报、月报等各项数据报表工作；5.对运营数据进行定期更新，监测和追踪运营数据的异常波动，并及时反馈上级。职位要求：1.计算机、统计、数学、信息技术大专及以上学历优先；2.熟练使用excel和数据分析工具；3.具备对数据的归纳、整理和分析能力，能熟悉数据分析软件者优先考虑；4.能根据项目或部门的需求，对数据进行专项的分析，提供优质、独到的建议；5.对数据敏感，工作细心，具有良好的学习能力，创新能力。,硕士,互联网,职位诱惑：弹性工作 下午茶 周末双休,数据分析实习生,5天／周,实习4个月,50-70／天,150-500人,https://www.shixiseng.com/intern/inn_oxm1yqnkhuvz
上海,上海,重塑科技,职位描述：1.协助燃料电池系统实车运行数据、台架数据、冷启动数据的处理和挖掘；2.能熟练使用EXCEL、PowerBI、Origin、Matlab等数据处理软件；3.会使用Matlab.、VB等进行数据处理程序的编程及编译；4.协助部门其他成员的完成一些日常工作。??,本科,机械制造,"职位诱惑：职位专业发展前景好,企业氛围好，提供餐补",数据分析工程师,3天／周,实习3个月,100-150／天,150-500人,https://www.shixiseng.com/intern/inn_cxzkgykcjanx
成都,成都市高新区天韵路186号,锦程消费金融,职位描述：岗位职责1.准确理解公司各数据源系统数据表结构，熟练使用数据库查询语句处理复杂查询逻辑；2.准确理解银行业风险管理数据分析维度及统计口径，明确数据分析需求维度、规范统计口径；3.根据分析要求，及时准确的进行数据处理、报表制作及上级报送。确保统计分析数据一致性、分析结构清晰、统计口径符合分析需求；解读分析管理相关数据及报表；4.支持市场、产品、风险、审批、催收等公司各部门的数据查询需求；5.专题分析，通过数据分析和报告为各业务部门和公司经营层提供必要的决策支持6.报表自动化，推动报表和数据查询的自动化，提升数据质量和工作效率7.完成领导交办的其他工作。任职要求：1.2018应届本科及以上学历，统计学、数学等相关专业；2.具有一定的数据库相关专业知识，熟知统计分析及查询相关软件及工具：SAS、SQL；3.熟练使用R或Python；4.熟练掌握Excel数据处理、分析统计功能。,本科,金融,职位诱惑：五险一金 带薪年假 节日福利  年终奖金,数据分析岗（2018应届）,3天／周,实习3个月,50-100／天,50-150人,https://www.shixiseng.com/intern/inn_ly8jrtutebsf
